,danzheng,thesoupgirl,sauravn,saul97,drewatk,emmyzhang,cg505,lennax,kathy789,rkp7,analyst1001,nathanamorin,pptx
danzheng,1,0,0.01889,0,0,0,0,0,0,0,0,0.10957,0
thesoupgirl,0,1,0,0.84812,0.81472,0.67826,0,0.05091,0.8426,0.89,0.85427,0.07652,0.89
sauravn,0.01889,0,1,0,0,0,0,0,0,0,0,0.25965,0
saul97,0,0.84812,0,1,0.77471,0.65038,0,0.042,0.80497,0.84812,0.81472,0.07619,0.84812
drewatk,0,0.81472,0,0.77471,1,0.65258,0,0.04,0.76948,0.81472,0.79,0.07614,0.81472
emmyzhang,0,0.67826,0,0.65038,0.65258,1,0,0.02857,0.64615,0.67826,0.66269,0.07522,0.67826
cg505,0,0,0,0,0,0,1,0,0,0,0,0,0
lennax,0,0.05091,0,0.042,0.04,0.02857,0,1,0.05333,0.05091,0.042,0,0.05091
kathy789,0,0.8426,0,0.80497,0.76948,0.64615,0,0.05333,1,0.8426,0.80951,0.07614,0.8426
rkp7,0,0.89,0,0.84812,0.81472,0.67826,0,0.05091,0.8426,1,0.85427,0.07652,0.89
analyst1001,0,0.85427,0,0.81472,0.79,0.66269,0,0.042,0.80951,0.85427,1,0.07636,0.85427
nathanamorin,0.10957,0.07652,0.25965,0.07619,0.07614,0.07522,0,0,0.07614,0.07652,0.07636,1,0.07652
pptx,0,0.89,0,0.84812,0.81472,0.67826,0,0.05091,0.8426,0.89,0.85427,0.07652,1
