Project Name,Approximate number of lines of code
taycurt17,242.8
crloflin,89.625
pmittal115,2573.8333333333335
ankitbatheja,3212.5
ishwetasingh,3802.4444444444443
pjt90,346.05555555555554
sauravn,13434.09090909091
dengc,2380.9523809523807
jeffkeilmann,82.5
Christyyy,156.72727272727272
prachitamane,358.8235294117647
ccand93,0.0
wluan,424.36842105263156
huayifang,1533.6315789473683
patrickherrod,14648.318181818182
lheston,0.0
lostkuma,2984.2
MegamindHenry,966.875
shiboo18,185.2
meetalivaidya,386.6842105263158
hsu,104.4
tanmayee123,3938.157894736842
cgrieger12,1774.8181818181818
mgogte,0.0
aterriqu,354.9375
abelal16,653.8888888888889
